cell_id,cell_role
22bf0a3b-f465-4e48-8fd0-1a2689030839,comment
7c1abf42-2d59-4b59-b057-f0efe0873f73,comment
b8c6a8a3-629e-4187-96f8-0fcb05943d2f,comment
4bbfb597-fa3f-4aba-9a16-6a26bfcac29c,comment
84106d7c-fade-4514-abb8-415a6cf35a95,comment
cbd7ea73-cbfe-4713-8cb5-1764f4649306,comment
a0b9afbd-1a71-4758-a180-f482dd297e53,comment
9105ad32-5c0b-4e27-9ff5-918a05def613,comment
7be08648-a8d2-4e21-8dfa-8efc350d45fa,comment
4130a1ac-a638-4f1c-b89f-705206961367,comment
760c2175-b42a-4410-81a6-6df0fa33f7ba,comment
a500b689-8bfa-4d51-a9ed-f8c9731bd125,comment
89957367-6188-4b4b-a9c0-1bb641c9199c,comment
515e36dc-ab48-411f-b726-471b7afc9fe7,comment
0e833d46-8c34-4015-b445-e76c90098a80,comment
4e51ee73-1ddf-402e-adf0-a8f6dc415bc6,comment
5f70690a-490c-4ce6-b9fc-304c896f0a2e,comment
c1864f1d-b0d5-4d97-8bae-4abc390e602b,comment
9401bf63-68ec-4854-ac4c-e5493cc5836d,comment
27a269c8-f088-43b9-b96b-0fbf12fefd64,comment
52f44642-2104-4b8b-a514-8fe5b5505520,comment
02b9bf2b-7389-408d-a94b-31165b3defe0,comment
a4d2c225-e5a3-4c33-95d4-b0c031812cac,comment
67ee2beb-fe9f-449a-a2cb-73dcef94dc14,comment
49b81992-091b-4b0a-9c32-8b49fe44a029,comment
8c6f0820-3c5d-4759-9855-7c07c03f076e,comment
33f2a079-d844-4f70-a239-7b8845bc7fda,comment
7579fcb6-034c-457d-a186-391a167320ff,merged_helper
ec4e2f65-9002-460d-98a7-58f35995fb1c,merged_helper
1ab9d300-fee8-4b3a-9f83-24eb4a9ade38,merged_helper
e981a1c6-726e-484a-98f5-16b1000f5054,merged_helper
e51d8409-9cc0-489c-880b-7a97e67e6773,merged_helper
1ac2e6ad-33b4-466d-acaf-b605f28db271,merged_helper
5234e85a-9b9c-42a6-b199-d2b273d17850,merged_helper
b42778ae-f799-4b1d-8031-e3934a375d8e,merged_helper
379de892-8076-448c-9f00-f5e73f3e610d,merged_helper
9d14e1d9-7596-4d75-a899-c1171e7013fe,merged_helper
9641b3cd-c3c5-447c-9ca5-68fc61151c15,empty
c3397037-6499-4a6c-af60-b2fa5a99e75a,empty
a9675ca3-395e-4346-b3d9-c7a3362f4188,merged_helper
8bf989fa-afbd-47c9-a2e9-7e5b88cc7a29,empty
baec021d-c6a3-411a-9af9-4f25bdeb6d95,empty
14f960f4-db86-4d06-8604-ecb1e7dcb018,merged_helper
4e048b7a-82f3-4a91-9a97-ca6b6bd40341,empty
7d291442-1d9a-439e-8644-e20773a0804e,empty
5654a574-2776-4707-95e0-6fc60f407cab,merged_helper
c1cac6a8-98ea-4162-98b4-a225953fd4b1,empty
6380a352-5a6a-40f6-a51c-b6522666dec4,empty
b07fa371-8ba0-418e-ad90-bc81f640613a,empty
e68d4100-47e8-47e2-9466-ebf79db509b7,empty
bbf003a8-c346-486e-82ef-142424c9538b,empty
f38cc586-a97a-4070-9d5e-79e90f3b1614,empty
ea565e91-0411-47b8-aa1e-02c23425a169,empty
cd05a133-4661-46e8-af76-5863eaef5b07,empty
c09042c0-ea73-4c20-b902-6b333753672e,empty
a2d0deef-3e3c-4703-9bab-41904b3e1611,empty
efa5062c-f6b2-42e1-8189-91d14d048abf,empty
be0fef7c-8e03-4b95-97cf-2dfc6523b84d,empty
188e043b-672f-4225-84f4-0128eaa7612d,empty
b4678932-aa66-468e-b634-149c2e54c0dd,empty
920def60-a855-464f-a407-3b6f689ac3db,empty
f8ea18a8-555a-4b62-b23f-4019769b04ca,empty
ab6b1fb7-5673-47ce-abf1-0db166fbba16,empty
55da78f5-a1fb-48ed-9371-c0e569c07cee,empty
ea06404d-0fdf-48e2-8b17-2b7af73be6bc,empty
5aabc07c-62e8-4354-85b6-9d6b650ea52f,empty
584ff045-470e-4e09-90d5-0c7a4f204a3e,empty
e16eeead-b34e-48ed-9f21-70bdac7bc20e,empty
554effca-18c9-4652-8f84-41f365fcf674,empty
3e38dba0-a2d7-4016-86ce-c0b3791f088a,empty
c1b0137d-cd9f-4f8b-8b15-352466e117df,empty
41b2b4a5-2cd8-4502-b224-0820d21b4734,empty
5a9610e8-d751-477b-80e1-e852481d019a,empty
5705f1d7-b37c-4fab-86d6-51ae74ff8753,empty
8e159372-61bd-486c-b867-9fcf8e78c96c,empty
81dada09-09f2-48e9-ae09-7160af5ce319,empty
cd261282-c764-4dcd-b332-e66948890eb1,empty
a8a04ef7-2663-4769-8586-9eeba3e96f34,merged_helper
c4ba5204-2739-4473-984d-47dce2bfe6d8,merged_helper
34647ca9-aa93-4c06-90ec-d0e6bca38040,merged_helper
3e8de358-3f32-41ea-977f-aca8be3ebcd9,merged_helper
ecbc9441-8268-4d86-b829-27ded688b7f7,merged_helper
4da3a2fb-0bd9-448b-9ae3-f46413219cd4,merged_helper
8a38c595-3f4f-4a82-b2c6-1ba650cafcc7,empty
4ead4ed0-8d27-417c-9233-84ae22d7662a,empty
d610bae4-10d2-4bdb-b84d-d4e7d4018d67,merged_helper
ad1de02b-e9ec-4d47-a104-eab0c42b66c4,empty
2d0270cf-db56-47bd-ab60-2644fc1eb7ad,empty
1b3d0e7f-0530-48a1-a91e-52e29fdd417b,merged_helper
41443a63-2e61-47e1-a025-f4a841561d37,merged_helper
6bfacdb3-ff30-4b24-85ee-0913d7c47448,merged_helper
f055f6ad-7049-4431-8989-58847f15aed2,merged_helper
de4e40f1-752a-4710-9e64-059efea5df8b,merged_helper
ae4e3ca7-fd1d-4ca2-9f4e-e8c7b9321249,merged_helper
dbc67441-7f03-41de-af4b-8893b39dd659,empty
904542e0-3ae2-4a32-9823-045a422855c9,empty
20146e76-08b4-405f-9570-f4eb50b06f7e,merged_helper
71ff39b4-b9df-4ee7-922c-f6ee2b7c6d7f,empty
f3b2e63b-a5e7-4789-a5fd-8e2f26014b03,empty
0492aa54-f89c-42b3-b858-76c7d96b5b4d,merged_helper
03655440-26c1-487f-9ebb-8f2602635a92,empty
aa1d24d3-6e3c-42b1-9ba9-c4000e1f45b7,empty
a50e73ea-a43f-4de9-8c69-61b78b9cab45,merged_helper
8c320190-511b-4c3a-a8f6-c4c43e857a4a,empty
4a59cd25-8828-46ba-9ccb-e35bbd2ce50f,empty
bcaa49fc-fa08-4280-a11a-c1fe6bff5ab9,empty
64122868-54fe-44d5-82ec-3aee1ca7a40f,empty
31f1ba10-eea9-48c2-b985-2fbff5199c24,empty
