table_id,content,table_class
b8bb98bb-27de-406f-b789-7ea7b6494980,"[[['Comments:', 'The', 'breaker', 'charging', 'handle', 'was', 'found', 'to', 'have', 'no', 'return', 'pressure', 'to', 'restore', 'handle', 'to', 'normal', 'position.', 'The', 'charging', 'handle', 'assembly', 'was', 'taken', 'apart', 'and', 'the', 'spring', 'was', 'found', 'to', 'be', 'out', 'of', 'position.', 'This', 'was', 'repaired', 'and', 'reassembled.', 'The', 'breaker', 'is', 'acceptable', 'for', 'operation.'], ['Trip', 'Tests']], [['Trip', 'Tests'], [], [], [], [], []], [['Long', 'Time', 'Elements'], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Long', 'Time', 'Delay', 'in', 'Seconds', 'at', '300', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['24.0'], ['24.0'], ['24.0']], [['Equal', 'to', '2400', 'Amps'], ['As', 'Left:'], ['24.0'], ['24.0'], ['24.0']], [['Manufacturers', 'Curve', '18.7', 'to', '28', 'Seconds'], [], [], [], [], []], [['Short', 'Time', 'Elements'], [], [], [], []], [['Short', 'Time', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['0.45'], ['0.45'], ['0.45']], [['Equal', 'to', '3600', 'Amps'], ['As', 'Left:'], ['0.45'], ['0.45'], ['0.45']], [['Manufacturers', 'Curve', '0.26', 'to', '0.50', 'Seconds'], [], [], [], [], []], [['Ground', 'Fault', 'Elements'], [], [], [], []], [['Ground', 'Fault', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['0.21'], ['0.21'], ['0.21']], [['Equal', 'to', '420', 'Amps'], ['As', 'Left:'], ['0.21'], ['0.21'], ['0.21']], [['Manufacturers', 'Curve', '0.12', 'to', '0.24', 'Seconds'], [], [], [], [], []], [['Instantaneous', 'Elements'], [], [], [], []], [['Instantaneous', 'Pick', 'Up', 'in', 'Amperes'], [], ['As', 'Found:'], ['3320'], ['3340'], ['3320']], [['Manufacturers', 'Curve', '2880', 'to', '3520', 'Amperes'], ['As', 'Left:'], ['3320'], ['3340'], ['3320']]]",BIGRID_STACKED
1ec91904-9627-4bc4-a63c-e341f3dc6d4a,"[[['Comments:', 'The', 'circuit', 'breaker', 'is', 'acceptable', 'for', 'operation.'], ['Trip', 'Tests']], [['Trip', 'Tests'], [], [], [], [], []], [['Long', 'Time', 'Elements'], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Long', 'Time', 'Delay', 'in', 'Seconds', 'at', '300', '%', 'Pick', 'Up'], ['As', 'Found:'], ['12.5'], ['12.4'], ['12.4']], [['Equal', 'to', '4800', 'Amps'], ['As', 'Left:'], ['12.5'], ['12.4'], ['12.4']], [['Manufacturers', 'Curve', '9', 'to', '15', 'Seconds'], [], [], [], [], []], [['Short', 'Time', 'Elements'], [], [], [], []], [['Short', 'Time', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['0.15'], ['0.15'], ['0.15']], [['Equal', 'to', '7200', 'Amps'], ['As', 'Left:'], ['0.15'], ['0.15'], ['0.15']], [['Manufacturers', 'Curve', '0.10', 'to', '0.20', 'Seconds'], [], [], [], [], []], [['Ground', 'Fault', 'Elements'], [], [], [], []], [['Ground', 'Fault', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], [], [], []], [['Equal', 'to', 'Amps'], ['As', 'Left:'], [], [], []], [['Manufacturers', 'Curve', 'to', 'Seconds'], [], [], [], [], []], [['Instantaneous', 'Elements'], [], [], [], []], [['Instantaneous', 'Pick', 'Up', 'in', 'Amperes'], ['As', 'Found:'], [], [], []], [['Manufacturers', 'Curve', 'to', 'Amperes'], ['As', 'Left:'], [], [], []]]",BIGRID_STACKED
6bd53d17-6694-4687-bb02-80a5ca3bf59b,"[[['Comments:', 'The', 'circuit', 'breaker', 'is', 'acceptable', 'for', 'operation.'], ['Trip', 'Tests']], [['Trip', 'Tests'], [], [], [], [], []], [['Long', 'Time', 'Elements'], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Long', 'Time', 'Delay', 'in', 'Seconds', 'at', '300', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['51'], ['51'], ['51']], [['Equal', 'to', '6000', 'Amps'], ['As', 'Left:'], ['51'], ['51'], ['51']], [['Manufacturers', 'Curve', '40', 'to', '60', 'Seconds'], [], [], [], [], []], [['Short', 'Time', 'Elements'], [], [], [], []], [['Short', 'Time', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], [], [], []], [['Equal', 'to', 'Amps'], ['As', 'Left:'], [], [], []], [['Manufacturers', 'Curve', 'to', 'Seconds'], [], [], [], [], []], [['Ground', 'Fault', 'Elements'], [], [], [], []], [['Ground', 'Fault', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['0.75'], ['0.75'], ['0.75']], [['Equal', 'to', '1050', 'Amps'], ['As', 'Left:'], ['0.75'], ['0.75'], ['0.75']], [['Manufacturers', 'Curve', '0.70', 'to', '1.25', 'Seconds'], [], [], [], [], []], [['Instantaneous', 'Elements'], [], [], [], []], [['Instantaneous', 'Pick', 'Up', 'in', 'Amperes'], [], ['As', 'Found:'], [], [], []], [['Manufacturers', 'Curve', 'N/A', 'to', 'N/A', 'Amperes'], ['As', 'Left:'], [], [], []]]",BIGRID_STACKED
8ca01f66-04e3-4de4-ace1-2494513995e6,"[[['Comments:', 'The', 'circuit', 'breaker', 'is', 'acceptable', 'for', 'operation.'], ['Trip', 'Tests']], [['Trip', 'Tests'], [], [], [], [], []], [['Long', 'Time', 'Elements'], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Long', 'Time', 'Delay', 'in', 'Seconds', 'at', '300', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['45.6'], ['45.6'], ['45.6']], [['Equal', 'to', '6000', 'Amps'], ['As', 'Left:'], ['45.6'], ['45.6'], ['45.6']], [['Manufacturers', 'Curve', '40', 'to', '60', 'Seconds'], [], [], [], [], []], [['Short', 'Time', 'Elements'], [], [], [], []], [['Short', 'Time', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], [], [], []], [['Equal', 'to', 'Amps'], ['As', 'Left:'], [], [], []], [['Manufacturers', 'Curve', 'to', 'Seconds'], [], [], [], [], []], [['Ground', 'Fault', 'Elements'], [], [], [], []], [['Ground', 'Fault', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['0.75'], ['0.75'], ['0.75']], [['Equal', 'to', '1050', 'Amps'], ['As', 'Left:'], ['0.75'], ['0.75'], ['0.75']], [['Manufacturers', 'Curve', '0.70', 'to', '1.25', 'Seconds'], [], [], [], [], []], [['Instantaneous', 'Elements'], [], [], [], []], [['Instantaneous', 'Pick', 'Up', 'in', 'Amperes'], [], ['As', 'Found:'], [], [], []], [['Manufacturers', 'Curve', 'N/A', 'to', 'N/A', 'Amperes'], ['As', 'Left:'], [], [], []]]",BIGRID_STACKED
ce7c5db3-b168-4deb-bc3e-676ea36dfd08,"[[['Comments:', 'The', 'circuit', 'breaker', 'is', 'acceptable', 'for', 'operation.'], ['Trip', 'Tests']], [['Trip', 'Tests'], [], [], [], [], []], [['Long', 'Time', 'Elements'], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Long', 'Time', 'Delay', 'in', 'Seconds', 'at', '300', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['24.0'], ['24.0'], ['24.0']], [['Equal', 'to', '12000', 'Amps'], ['As', 'Left:'], ['24.0'], ['24.0'], ['24.0']], [['Manufacturers', 'Curve', '18.7', 'to', '28', 'Seconds'], [], [], [], [], []], [['Short', 'Time', 'Elements'], [], [], [], []], [['Short', 'Time', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['0.84'], ['0.84'], ['0.84']], [['Equal', 'to', '12000', 'Amps'], ['As', 'Left:'], ['0.84'], ['0.84'], ['0.84']], [['Manufacturers', 'Curve', '0.5', 'to', '1.0', 'Seconds'], [], [], [], [], []], [['Ground', 'Fault', 'Elements'], [], [], [], []], [['Ground', 'Fault', 'Delay', 'in', 'Seconds', 'at', '150', '%', 'Pick', 'Up'], [], ['As', 'Found:'], ['0.08'], ['0.08'], ['0.08']], [['Equal', 'to', '1800', 'Amps'], ['As', 'Left:'], ['0.08'], ['0.08'], ['0.08']], [['Manufacturers', 'Curve', '0.12', 'to', '0.24', 'Seconds'], [], [], [], [], []], [['Instantaneous', 'Elements'], [], [], [], []], [['Instantaneous', 'Pick', 'Up', 'in', 'Amperes'], [], ['As', 'Found:'], [], [], []], [['Manufacturers', 'Curve', 'N/A', 'to', 'N/A', 'Amperes'], ['As', 'Left:'], [], [], []]]",BIGRID_STACKED
d511c7fe-a1ad-4cbc-8c0f-a22c5f60169a,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['103'], ['118'], ['95']], [[], ['As', 'Left:'], ['103'], ['118'], ['95']]]",BIGRID
80c930c5-e31e-43e5-b324-5a36914de09a,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['107'], ['150'], ['109']], [[], ['As', 'Left:'], ['107'], ['150'], ['109']]]",BIGRID
44a31420-7cdf-4c8f-b973-91ff42a07c76,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['110'], ['115'], ['107']], [[], ['As', 'Left:'], ['110'], ['115'], ['107']]]",BIGRID
1a664b47-9932-42d4-a608-39b110bcca71,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['114'], ['100'], ['99']], [[], ['As', 'Left:'], ['114'], ['100'], ['99']]]",BIGRID
f3c705f8-645f-4025-99aa-12e43d2e0f8a,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['114'], ['165'], ['114']], [[], ['As', 'Left:'], ['114'], ['116'], ['114']]]",BIGRID
0347a475-0d9e-41b5-b7d5-a4ac2fb39854,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['121'], ['100'], ['99']], [[], ['As', 'Left:'], ['121'], ['100'], ['99']]]",BIGRID
d87ff5ff-e2ee-4803-af08-3d9063275de4,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['125'], ['120'], ['100']], [[], ['As', 'Left:'], ['125'], ['120'], ['100']]]",BIGRID
7dd805ff-94e1-46a1-bb54-7aba0d85c1fd,"[[['Contact', 'Resistance', 'Tests']], [['Contact', 'Resistance', 'Tests'], [], [], ['Pole', '#1'], ['Pole', '#2'], ['Pole', '#3']], [['Resistance', 'in', 'Micro-Ohms'], [], ['As', 'Found:'], ['14'], ['10'], ['10']], [[], ['As', 'Left:'], ['14'], ['10'], ['10']]]",BIGRID
